"날짜","댓글","평점"
"2019-03-20 09:41","부자되고 싶으면 추천 거지되고 싶으면 비추천","10"
"2019-03-23 09:38","알바댓글에 또 속았다하시는 분들은 추천","4"
"2019-03-20 09:03","시간순삭  깔끔하고 쫄깃하고 군더더기없는 영화네요  조일현은 부자가 되고 싶었고  류준열은 영화에서 표정연기부자가 되었다","10"
"2019-03-20 09:05","시간 가는 줄 모르고 재미나게 봤어요. 류준열 배우는 진짜 연기 잘하네요. 유지태, 조우진 등등 배우분들 모두 앙상블이 잘 이루어진 영화라 느꼈습니다.","10"
"2019-03-20 09:06","주식영화라고 해서 좀 어려울까 했는데 주식에 대해 전혀 몰라도 스토리 이해하는데 상관 없었음ㅋㅋ","10"
"2019-03-20 09:04","나는 부자가 되고 싶었다.","10"
"2019-03-20 09:17","박누리 감독 데뷔작인데 생각보다 훨씬 탄탄하다. 이야기 자체가 엄청 새롭거나 심오하거나 하지는 않지만 가지고 있는 재료 안에서 충분히 맛을 냈다. 카메라 워킹 훌륭하고 음악도 좋다. 무엇보다 한국영화계의 믿보배로 성...","10"
"2019-03-20 09:22","배우분들의 연기가 너무 좋았어요 특히 류준열배우의 연기가 점점 무르익어 가네요 변화되어가는 표정들이 압권입니다 연출도 입봉감독이라고 믿기 힘들만큼 센스있고 장면장면들이 다 좋네요 스피디하고 재미있어요 시사회로 봤는데...","10"
"2019-03-20 09:26","엄청난 부를 얻는 것이 반드시 행복인가를 자문하게 되는... 경쾌한 연출도 좋았고 류준열은 이제 원탑도 무리없을듯 조우진 연기 너무 잘함","10"
"2019-03-20 09:32","기대안했는데 괜찮았음  오락영화가  이정도면  됐지","10"
"2019-03-20 09:08","VIP시사로 봤는데 완전 재밌어요 ㅋㅋㅋㅋ 주식 하나도 몰라도 재밌음!!!","10"
"2019-03-20 09:13","속도감 느껴지고 경쾌해서 좋음. 큰 메시지 이런 거 보다 오락영화로서 가볍게 보기 좋다","9"
"2019-03-20 09:16","쉼표 3개에 0이 10개면 100억이다!!","10"
"2019-03-20 09:04","통쾌하고 시원한 영화 류준열 최고 영화","10"
"2019-03-20 10:20","관람객
													
													
													
													
													
														
															
															
																재미, 속도감,  서스펜스 삼박자 골고루 갖춘 잘만든  오락 영화. 돈에 대해서 많은 생각을 하게 됐어요. 여운이 길게 남아요. 류준열 연기 넘 잘하네요. 변해가는 눈빛과 표정 세세한 몸표현, 정말 최곱니다!","10"
"2019-03-20 09:22","간만에 재미있게 즐기며 본 영화ㅋㅋ 10억과 100억을 한 눈에 읽을 수 있을것 같다 읽을 일이 있을진 모르겠지만ㅋㅋ류준열은 첨부터 끝까지 극을 이끌어가는 힘이 있는 배우인것같다 앞으로 영화는 믿고봐도될듯 ㅋㅋ","10"
"2019-03-20 10:43","관람객
													
													
													
													
													
														
															
															
																부자가 되고 싶은 꿈은 누구나 있다. 유혹을 어떻게 견디느냐에 대한 문제..","9"
"2019-03-20 09:10","시간가는줄모르고봤네요ㅎㅎ","10"
"2019-03-20 09:18","어제 보고왔는데 보고와서 생각할수록 더 생각이 많아진다.. 생각해보니 영화에서나 현실에서나 돈이 그렇게 무섭다.. 가볍게 보고왔다 생각했는데 알고보니 공포물.. 또는 스릴러.. 잘봤습니다.  배우들 연기 지루하지않고...","10"
"2019-03-20 09:11","시사회로 미리 보고 왔는데 역시 믿고 보는 류준열 그리고 유지태와 조우진의 열연까지 빠짐없이 잘 만든 무비!","10"
"2019-03-20 09:10","이 영화 보고 싶은데 재밌나요? 님들은 어떠셨어요?","10"
"2019-03-22 19:08","진짜 재미없음... 알바 가득 한 듯","2"
"2019-03-20 10:03","류준열 배우는 이제 또래 배우들중에서 연기력으로는 인정할수밖에 없네요 ㅋㅋ영화도 볼만했어요","10"
"2019-03-20 09:13","영화 킬링타임으로 보기에 괜춘","10"
"2019-03-20 09:43","츄잉챗으로 봤는데, 배우들 얼굴까지 재미있음. 표정만 봐도 흥미로와요. 지루할 틈 없는 오락영화~유지태 조우진이 받쳐주고 류준열이 날아다님. 유명한 배우들이 막 나와서 꽤 놀람. 김종수, 유재명, 진선규. 게다가 다...","10"
"2019-03-20 09:29","주식에대해 전혀 모르고 봤지만 이해도잘되고 재밌게잘봤어요! 재밌으면서도 진지한 영화! 다들 꼭보세요!!!!","10"
"2019-03-20 09:43","어제 미리보고 왔습니다 초반에 웃기고 경쾌하게 가다가 후분엔 쫄깃한 범죄물로 바뀌면서 긴장감 가득한 영화로 바뀝니다. 류준열 유지태 조우진 조연배우들 연기도 좋고 연출이랑 음감님도 훌륭합니다","10"
"2019-03-20 09:09","3월은 돈이다!!! 제일 나아요 개봉작중에","10"
"2019-03-20 09:23","간만에 재밌는 오락영화가 나왔네요","10"
"2019-03-23 09:04","재미 없다..네이버 평점 믿지 마라...","4"
"2019-03-20 11:06","관람객
													
													
													
													
													
														
															
															
																나도 한번쯤은 번호표 뽑고 기다리고 싶다.","10"
"2019-03-20 09:01","기대한만큼 재미있던 영화!! 류준열 배우의 또 다른 모습!! 개봉 전에 시사회를 통해서 봤는데 오늘 또 보러갑니다!!","10"
"2019-03-20 11:23","관람객
													
													
													
													
													
														
															
															
																류준열 연기 정말 잘하네요 ㅎㅎ","10"
"2019-03-20 10:23","관람객
													
													
													
													
													
														
															
															
																꿀잼ㅠㅠㅠ미쳤어요ㅠㅠㅠ류준열짱!!","10"
"2019-03-20 10:01","막 돈 벌어서 쓸 때 대리만족 재밌네요 주가조작을 저런식으로 작전 짜서 하는구나 간접 경험 했네요 뉴스나 찌라시 보고 매도 함부로 하면 안되는구나 나름 꿀팁ㅋㅋ","10"
"2019-03-20 10:30","관람객
													
													
													
													
													
														
															
															
																1점주는 분들 다른 동시개봉 한국영화도 다 1점테러 했네 이래서 네이버 평점은 보는게 아님 10점이랑 1점뿐. 돈은 돈은 안아깝다","10"
"2019-03-20 09:15","시사회로 미리봤는데 영화전체를 이끌어가는 류준열의 연기가 일품!!! 배우들의 연기와 함께 연출과 음악때문에 심장쫄깃합니다. 오프닝부터 엔딩까지 한순간도 놓칠 수 없어서 시간순삭!!!","10"
"2019-03-20 09:03","VIP시사회에서 미리봤는데 저는 진짜 재밌게 잘봤습니다.! 인생한방이다라는걸 느끼게 됐어요 약간 현타오는데 진짜 재밌어요 꼭보세요~!놓쳤던 대사 들으러 한번더 보러갑니다!","10"
"2019-03-20 12:33","관람객
													
													
													
													
													
														
															
															
																평범한 사람이 갑자기 큰 돈을 보게 되면 어떻게 되는지 현실적으로 잘 그려낸거 같다 ㅋㅋ","9"
"2019-03-20 09:49","돈이 낫다 공감 우상이 낫다 비공감을 눌러주세요","8"
"2019-03-20 09:10","스토리 괜찮고 스릴러인줄은 몰랐는데 스릴러 요소도 있네요 그래서 그런지 시간이 엄청 빨리감.. 주식 공부 하고싶은 영화.. 돈 벌어보자ㅏㅏ","10"
"2019-03-20 11:05","주말에 보러갈건데 이 영화 재밌나요? 추천 비추천 해주세요","10"
"2019-03-20 11:22","관람객
													
													
													
													
													
														
															
															
																볼만한 오락 영화 탄생 ^^","10"
"2019-03-20 09:47","영화보는 순간만큼 계좌에 돈이들어온다고 생각하니까 기분이 정말 좋았던시간이였습니다. 현실은..ㅠ","10"
"2019-03-20 11:08","관람객
													
													
													
													
													
														
															
															
																보는 내내 가슴이 두근쿵쾅!돈과 탐욕에 대하여!멈출수 있는가!강추!","10"
"2019-03-20 09:59","진짜재밌다..음악도 좋음","10"
"2019-03-20 09:43","인상 깊게 봤습니다 배우들 연기도 너무 좋았고 무엇보다 몰랐던거에 대해 알게 되서 좋았던거 같아요","10"
"2019-03-20 10:10","넘넘재밌음 류준열연기대박","10"
"2019-03-20 09:20","너무 재미또요  너무 재미또요","10"
"2019-03-20 09:54","빠른 전개 속도, 류준열 연기. 재밌게 봤습니다. 박누리 감독님 앞으로 기대됩니다.","10"
"2019-03-20 09:18","대박~잼!완전강추..이 영화 꼭 보세요!","10"
"2019-03-20 09:19","개돈잼 ㅋㅋㅋㅋ한번 더 볼 각!","10"
"2019-03-20 09:54","ㅋㅋㅋ기대안하고 봤는데 너무 재밌었어요  내용도 안어렵고 친구랑 봤는데 가족들이랑 봐도 무리 없을듯! 마지막에 나오는 노래도 내적댄스 쩔어요ㅜㅜ 집가는 내내 생각남.","10"
"2019-03-20 09:54","시간가는줄 모르고 봤네요 개봉하기전부터 기대했는데 너무 재밌었어요 bb천만 까즈아","9"
"2019-03-20 09:32","스토리, 연기 다 좋았어요!","10"
